market_id,market_name,anomaly_trigger_time_utc,price_before,price_after,max_abs_move,score_magnitude,score_speed,score_persistence,score_unusualness,time_to_close_bonus,concentration_available,concentration_tier,concentration_red_flag,concentration_bonus,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason,anomaly_score,observations,anomaly_class
559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,2026-07-07T16:00:06Z,0.1045,0.1485,0.044,11.0,14.0,82.8,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",58.9,336,weak
559653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,2026-07-07T14:00:09Z,0.125,0.1565,0.0315,7.9,7.2,93.4,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",58.2,336,weak
559654,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,2026-07-10T11:00:05Z,0.0405,0.0495,0.009,2.3,4.0,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",56.8,336,weak
561234,Will Marco Rubio win the 2028 US Presidential Election?,2026-07-06T23:00:06Z,0.1575,0.144,0.0135,3.4,5.3,96.3,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",56.8,336,weak
544092,Will Harvey Weinstein be sentenced to no prison time?,2026-07-15T00:00:09Z,0.9675,0.901,0.0665,16.6,33.2,38.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",56.7,336,weak
559658,Will Kamala Harris win the 2028 Democratic presidential nomination?,2026-07-07T13:00:07Z,0.0665,0.0865,0.02,5.0,10.0,86.7,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",56.6,336,weak
561973,Will Donald Trump win the 2028 Republican presidential nomination?,2026-07-11T11:00:06Z,0.0125,0.0165,0.004,1.0,2.0,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.9,336,weak
544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,2026-07-10T13:00:05Z,0.014,0.004,0.01,2.5,4.8,93.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.7,336,weak
544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,2026-07-04T23:00:21Z,0.0025,0.0295,0.027,6.7,8.5,81.2,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.7,336,weak
561232,Will Pete Buttigieg win the 2028 US Presidential Election?,2026-07-15T02:00:08Z,0.0245,0.0215,0.003,0.8,1.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.7,336,weak
559655,Will Josh Shapiro win the 2028 Democratic presidential nomination?,2026-07-11T14:00:05Z,0.0495,0.0545,0.005,1.2,1.2,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.7,336,weak
559660,Will Andy Beshear win the 2028 Democratic presidential nomination?,2026-07-16T22:00:07Z,0.0205,0.0225,0.002,0.5,0.7,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.4,336,weak
559657,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,2026-07-15T02:00:08Z,0.0105,0.0085,0.002,0.5,0.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.3,336,weak
561238,Will Glenn Youngkin win the 2028 US Presidential Election?,2026-07-11T21:00:06Z,0.0075,0.0065,0.001,0.2,0.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.2,336,weak
561237,Will Andy Beshear win the 2028 US Presidential Election?,2026-07-04T05:00:04Z,0.0105,0.0095,0.001,0.3,0.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.2,336,weak
561235,Will Wes Moore win the 2028 US Presidential Election?,2026-07-10T23:00:22Z,0.0085,0.0075,0.001,0.3,0.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.2,336,weak
559659,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,2026-07-10T02:00:04Z,0.0085,0.0075,0.001,0.3,0.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.2,336,weak
561236,Will Gretchen Whitmer win the 2028 US Presidential Election?,2026-07-11T21:00:06Z,0.0065,0.0055,0.001,0.2,0.5,100.0,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",55.2,336,weak
559652,Will Gavin Newsom win the 2028 Democratic presidential nomination?,2026-07-07T22:00:05Z,0.196,0.1825,0.0135,3.4,2.8,100.0,89.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",54.7,336,weak
561233,Will Josh Shapiro win the 2028 US Presidential Election?,2026-07-11T10:00:05Z,0.0275,0.029,0.0015,0.4,0.5,94.4,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",54.1,336,weak
561230,Will Gavin Newsom win the 2028 US Presidential Election?,2026-07-13T04:00:05Z,0.1155,0.1225,0.007,1.7,2.2,79.8,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",52.1,336,weak
561229,Will JD Vance win the 2028 US Presidential Election?,2026-07-09T21:00:09Z,0.2015,0.1985,0.003,0.8,1.2,83.3,99.5,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",52.1,336,weak
560317,"Putin out as President of Russia by December 31, 2026?",2026-07-03T19:00:03Z,0.115,0.105,0.01,2.5,5.0,80.0,94.1,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",51.9,336,weak
561231,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,2026-07-08T01:00:06Z,0.0745,0.085,0.0105,2.6,2.3,72.4,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",51.0,336,weak
561974,Will J.D. Vance win the 2028 Republican presidential nomination?,2026-07-06T18:00:05Z,0.4075,0.3805,0.027,6.7,11.5,49.3,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",50.1,336,weak
544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,2026-07-10T08:00:03Z,0.005,0.018,0.013,3.2,6.2,48.5,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",47.4,336,subthreshold
559651,Xi Jinping out before 2027?,2026-07-08T19:00:06Z,0.0475,0.0635,0.016,4.0,8.0,32.3,100.0,0.0,True,red_flag,True,15.0,0.2509,0.4046,0.8848,"THICK market moved by a few wallets (top1=25%, top3=40%, gini=0.88)",44.9,336,subthreshold
544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,2026-07-04T23:00:21Z,0.0005,0.032,0.0315,7.9,12.5,61.9,100.0,0.0,True,concentrated_thin,False,0.0,0.2509,0.4046,0.8848,"concentrated, but market is thin where concentration is unremarkable",38.3,336,subthreshold
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,2026-07-13T17:00:05Z,0.0185,0.0065,0.012,3.0,6.0,70.8,100.0,0.0,True,concentrated_thin,False,0.0,0.2509,0.4046,0.8848,"concentrated, but market is thin where concentration is unremarkable",36.7,336,subthreshold
